"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_4491","FOTU_4491","Viridiplantae","Anthophyta","unidentified","unidentified","unidentified","unidentified","unidentified","Anthophyta","FOTU_4491_Anthophyta"
"FOTU_4492","FOTU_4492","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4492_unidentified"
"FOTU_4493","FOTU_4493","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4493_unidentified"
"FOTU_4494","FOTU_4494","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4494_unidentified"
"FOTU_4495","FOTU_4495","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","mellea","Armillaria_mellea","FOTU_4495_Armillaria_mellea"
"FOTU_4496","FOTU_4496","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4496_unidentified"
"FOTU_4497","FOTU_4497","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","unidentified","Trechispora","FOTU_4497_Trechispora"
"FOTU_4498","FOTU_4498","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiales_fam_Incertae_sedis","Halokirschsteiniothelia","unidentified","Halokirschsteiniothelia","FOTU_4498_Halokirschsteiniothelia"
"FOTU_4499","FOTU_4499","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4499_unidentified"
"FOTU_4500","FOTU_4500","Fungi","Ascomycota","Eurotiomycetes","Onygenales","unidentified","unidentified","unidentified","Onygenales","FOTU_4500_Onygenales"
"FOTU_4501","FOTU_4501","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4501_unidentified"
"FOTU_4502","FOTU_4502","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4502_unidentified"
"FOTU_4503","FOTU_4503","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4503_unidentified"
"FOTU_4504","FOTU_4504","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Poaceascoma","unidentified","Poaceascoma","FOTU_4504_Poaceascoma"
"FOTU_4505","FOTU_4505","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon","howeanum","Hypoxylon_howeanum","FOTU_4505_Hypoxylon_howeanum"
"FOTU_4506","FOTU_4506","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4506_Fungi"
"FOTU_4507","FOTU_4507","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales","Caryophyllaceae","Acanthophyllum","spinosum","Acanthophyllum_spinosum","FOTU_4507_Acanthophyllum_spinosum"
"FOTU_4508","FOTU_4508","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4508_unidentified"
"FOTU_4509","FOTU_4509","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4509_unidentified"
"FOTU_4510","FOTU_4510","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4510_unidentified"
"FOTU_4511","FOTU_4511","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4511_unidentified"
"FOTU_4512","FOTU_4512","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4512_unidentified"
"FOTU_4513","FOTU_4513","Viridiplantae","Anthophyta","Eudicotyledonae","unidentified","unidentified","unidentified","unidentified","Eudicotyledonae","FOTU_4513_Eudicotyledonae"
"FOTU_4514","FOTU_4514","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","prolificans","Scedosporium_prolificans","FOTU_4514_Scedosporium_prolificans"
"FOTU_4515","FOTU_4515","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","berberidis","Hyalorbilia_berberidis","FOTU_4515_Hyalorbilia_berberidis"
"FOTU_4516","FOTU_4516","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4516_unidentified"
"FOTU_4517","FOTU_4517","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4517_unidentified"
"FOTU_4518","FOTU_4518","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","unidentified","unidentified","Hypocreaceae","FOTU_4518_Hypocreaceae"
